Rajasthan," 29-02-2020",15.55,40657830,41.74,76.2711,10.8505
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,76.2711,10.8505
Telangana," 29-02-2020",8.02,33651940,56.98,76.2711,10.8505
Tripura," 29-02-2020",29.5,3169372,68.22,76.2711,10.8505
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,76.2711,10.8505
Uttarakhand," 29-02-2020",5.04,6041862,36.25,76.2711,10.8505
West Bengal," 29-02-2020",5.42,73928355,47.11,76.2711,10.8505
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,78.6569,22.9734
Assam," 29-02-2020",5.88,20176536,41.61,78.6569,22.9734
Bihar," 29-02-2020",11.67,52563311,37.5,78.6569,22.9734
Chandigarh," 29-02-2020",16.67,316887,39.25,78.6569,22.9734
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,78.6569,22.9734
Delhi," 29-02-2020",14.5,11712614,41.31,78.6569,22.9734
Goa," 29-02-2020",2.37,956136,38.07,78.6569,22.9734
Gujarat," 29-02-2020",6.35,49515590,49.97,78.6569,22.9734
Haryana," 29-02-2020",25.42,14645884,43.97,78.6569,22.9734
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,78.6569,22.9734
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,78.6569,22.9734
Jharkhand," 29-02-2020",13.53,20850850,44.62,78.6569,22.9734
Karnataka," 29-02-2020",3.53,43355437,40.44,78.6569,22.9734
Kerala," 29-02-2020",7.53,19656046,37.68,78.6569,22.9734
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,78.6569,22.9734
Maharashtra," 29-02-2020",4.76,84832634,43.59,78.6569,22.9734
Meghalaya," 29-02-2020",4.57,2693658,57.17,78.6569,22.9734
Odisha," 29-02-2020",2.87,28561470,40.8,78.6569,22.9734
Puducherry," 29-02-2020",1.76,987922,41.56,78.6569,22.9734
Punjab," 29-02-2020",11.12,18458094,41.24,78.6569,22.9734
Rajasthan," 29-02-2020",15.55,40657830,41.74,78.6569,22.9734
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,78.6569,22.9734
Telangana," 29-02-2020",8.02,33651940,56.98,78.6569,22.9734
Tripura," 29-02-2020",29.5,3169372,68.22,78.6569,22.9734
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,78.6569,22.9734
Uttarakhand," 29-02-2020",5.04,6041862,36.25,78.6569,22.9734
West Bengal," 29-02-2020",5.42,73928355,47.11,78.6569,22.9734
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,75.7139,19.7515
Assam," 29-02-2020",5.88,20176536,41.61,75.7139,19.7515
Bihar," 29-02-2020",11.67,52563311,37.5,75.7139,19.7515
Chandigarh," 29-02-2020",16.67,316887,39.25,75.7139,19.7515
